step,total_steps,loss,reward_avg,avg_response_len
1,50,-0.000000,0.000000,5.250000
2,50,-0.000000,0.000000,5.750000
3,50,3.518811,0.500000,23.000000
4,50,-0.000000,0.000000,1.500000
5,50,14.296762,0.500000,233.250000
6,50,1.544346,0.250000,355.000000
7,50,-0.000000,0.000000,494.750000
8,50,3.277393,0.750000,175.750000
9,50,-0.000000,0.000000,248.750000
10,50,-0.000000,0.000000,469.750000
11,50,-0.000000,1.000000,261.750000
12,50,-0.000000,0.000000,342.000000
13,50,-0.000000,0.000000,212.000000
14,50,-0.000000,1.000000,256.750000
15,50,-0.000000,1.000000,185.000000
16,50,-0.000000,1.000000,263.750000
17,50,-0.000000,0.000000,512.000000
18,50,-0.000000,1.000000,321.500000
19,50,-0.000000,1.000000,324.500000
20,50,-0.756044,0.500000,476.000000
21,50,-0.000000,1.000000,386.250000
22,50,-5.733133,0.250000,366.000000
23,50,-20.054043,0.500000,457.000000
24,50,-1.781833,0.250000,512.000000
25,50,-0.000000,1.000000,466.000000
26,50,-0.000000,1.000000,307.500000
27,50,-2.855291,0.500000,497.500000
28,50,-0.000000,1.000000,295.000000
29,50,-0.000000,0.000000,448.250000
30,50,-0.000000,1.000000,327.750000
31,50,-0.000000,1.000000,271.750000
32,50,-0.000000,1.000000,325.500000
33,50,-0.000000,1.000000,355.250000
34,50,-0.000000,1.000000,265.000000
35,50,-0.000000,1.000000,232.750000
36,50,-0.000000,0.000000,512.000000
37,50,-0.000000,1.000000,313.250000
38,50,-0.000000,1.000000,149.000000
39,50,-0.000000,0.000000,372.250000
40,50,-0.000000,1.000000,330.250000
41,50,-0.000000,1.000000,319.250000
42,50,-0.000000,1.000000,296.250000
43,50,-0.000000,1.000000,375.750000
1,50,-0.000000,0.000000,5.250000
2,50,-0.000000,0.000000,5.750000
3,50,3.518811,0.500000,23.000000
4,50,-0.000000,0.000000,1.500000
